order_details_id,order_id,pizza_id,quantity,created_date
TRXD000001,TRX000001,PIZZA_HAWAIIAN_M,1,2025-01-01 11:38:41
TRXD000002,TRX000002,PIZZA_CLASSIC_DLX_M,1,2025-01-01 11:57:45
TRXD000003,TRX000002,PIZZA_FIVE_CHEESE_L,1,2025-01-01 11:57:45
TRXD000004,TRX000002,PIZZA_ITAL_SUPR_L,1,2025-01-01 11:57:45
TRXD000005,TRX000002,PIZZA_MEXICANA_M,1,2025-01-01 11:57:45
TRXD000006,TRX000002,PIZZA_THAI_CKN_L,1,2025-01-01 11:57:45
TRXD000007,TRX000003,PIZZA_ITAL_SUPR_M,1,2025-01-01 12:12:33
TRXD000008,TRX000003,PIZZA_PRSC_ARGLA_L,1,2025-01-01 12:12:33
TRXD000009,TRX000004,PIZZA_ITAL_SUPR_M,1,2025-01-01 12:16:36
TRXD000010,TRX000005,PIZZA_ITAL_SUPR_M,1,2025-01-01 12:21:35
TRXD000011,TRX000006,PIZZA_BBQ_CKN_S,1,2025-01-01 12:29:41
TRXD000012,TRX000006,PIZZA_THE_GREEK_S,1,2025-01-01 12:29:41
TRXD000013,TRX000007,PIZZA_SPINACH_SUPR_S,1,2025-01-01 12:50:42
TRXD000014,TRX000008,PIZZA_SPINACH_SUPR_S,1,2025-01-01 12:51:42
TRXD000015,TRX000009,PIZZA_CLASSIC_DLX_S,1,2025-01-01 12:52:06
TRXD000016,TRX000009,PIZZA_GREEN_GARDEN_S,1,2025-01-01 12:52:06
TRXD000017,TRX000009,PIZZA_ITAL_CPCLLO_L,1,2025-01-01 12:52:06
TRXD000018,TRX000009,PIZZA_ITAL_SUPR_L,1,2025-01-01 12:52:06
TRXD000019,TRX000009,PIZZA_ITAL_SUPR_S,1,2025-01-01 12:52:06
TRXD000020,TRX000009,PIZZA_MEXICANA_S,1,2025-01-01 12:52:06
TRXD000021,TRX000009,PIZZA_SPICY_ITAL_L,1,2025-01-01 12:52:06
TRXD000022,TRX000009,PIZZA_SPIN_PESTO_L,1,2025-01-01 12:52:06
TRXD000023,TRX000009,PIZZA_VEGGIE_VEG_S,1,2025-01-01 12:52:06
TRXD000024,TRX000010,PIZZA_MEXICANA_L,1,2025-01-01 13:00:20
TRXD000025,TRX000010,PIZZA_SOUTHW_CKN_L,1,2025-01-01 13:00:20
TRXD000026,TRX000011,PIZZA_BBQ_CKN_L,1,2025-01-01 13:03:04
TRXD000027,TRX000011,PIZZA_CALI_CKN_L,1,2025-01-01 13:03:04
TRXD000028,TRX000011,PIZZA_CALI_CKN_M,1,2025-01-01 13:03:04
TRXD000029,TRX000011,PIZZA_PEPPERONI_L,1,2025-01-01 13:03:04
TRXD000030,TRX000012,PIZZA_CALI_CKN_L,1,2025-01-01 13:04:46
TRXD000031,TRX000012,PIZZA_CALI_CKN_S,1,2025-01-01 13:04:46
TRXD000032,TRX000012,PIZZA_CKN_PESTO_L,1,2025-01-01 13:04:46
TRXD000033,TRX000012,PIZZA_ITAL_SUPR_M,1,2025-01-01 13:04:46
TRXD000034,TRX000013,PIZZA_MEXICANA_L,1,2025-01-01 13:12:00
TRXD000035,TRX000014,PIZZA_THE_GREEK_S,1,2025-01-01 13:14:24
TRXD000036,TRX000015,PIZZA_BIG_MEAT_S,1,2025-01-01 13:33:05
TRXD000037,TRX000015,PIZZA_FIVE_CHEESE_L,1,2025-01-01 13:33:05
TRXD000038,TRX000015,PIZZA_SOPPRESSATA_L,1,2025-01-01 13:33:05
TRXD000039,TRX000015,PIZZA_THE_GREEK_S,1,2025-01-01 13:33:05
TRXD000040,TRX000016,PIZZA_FOUR_CHEESE_L,1,2025-01-01 13:34:12
TRXD000041,TRX000016,PIZZA_NAPOLITANA_S,1,2025-01-01 13:34:12
TRXD000042,TRX000016,PIZZA_THAI_CKN_L,1,2025-01-01 13:34:12
TRXD000043,TRX000017,PIZZA_BBQ_CKN_L,1,2025-01-01 13:53:05
TRXD000044,TRX000017,PIZZA_CALABRESE_M,1,2025-01-01 13:53:05
TRXD000045,TRX000017,PIZZA_FIVE_CHEESE_L,1,2025-01-01 13:53:05
TRXD000046,TRX000017,PIZZA_FOUR_CHEESE_M,1,2025-01-01 13:53:05
TRXD000047,TRX000017,PIZZA_ITAL_SUPR_M,1,2025-01-01 13:53:05
TRXD000048,TRX000017,PIZZA_ITAL_VEGGIE_S,1,2025-01-01 13:53:05
TRXD000049,TRX000017,PIZZA_MEDITERRANEO_M,2,2025-01-01 13:53:05
TRXD000050,TRX000017,PIZZA_MEXICANA_L,1,2025-01-01 13:53:05
TRXD000051,TRX000017,PIZZA_PEPPR_SALAMI_S,1,2025-01-01 13:53:05
TRXD000052,TRX000017,PIZZA_SPINACH_FET_L,1,2025-01-01 13:53:05
TRXD000053,TRX000018,PIZZA_NAPOLITANA_L,1,2025-01-01 13:57:13
TRXD000054,TRX000019,PIZZA_ITAL_CPCLLO_L,1,2025-01-01 13:59:14
TRXD000055,TRX000019,PIZZA_SICILIAN_L,1,2025-01-01 13:59:14
TRXD000056,TRX000020,PIZZA_BIG_MEAT_S,1,2025-01-01 14:03:13
TRXD000057,TRX000020,PIZZA_FIVE_CHEESE_L,1,2025-01-01 14:03:13
TRXD000058,TRX000021,PIZZA_ITAL_CPCLLO_L,1,2025-01-01 14:14:34
TRXD000059,TRX000022,PIZZA_FIVE_CHEESE_L,1,2025-01-01 14:16:31
TRXD000060,TRX000022,PIZZA_ITAL_CPCLLO_M,1,2025-01-01 14:16:31
TRXD000061,TRX000022,PIZZA_SOUTHW_CKN_L,1,2025-01-01 14:16:31
TRXD000062,TRX000023,PIZZA_SOUTHW_CKN_S,1,2025-01-01 14:19:08
TRXD000063,TRX000024,PIZZA_BBQ_CKN_M,1,2025-01-01 14:23:06
TRXD000064,TRX000024,PIZZA_ITAL_CPCLLO_M,1,2025-01-01 14:23:06
TRXD000065,TRX000024,PIZZA_PEPPERONI_M,1,2025-01-01 14:23:06
TRXD000066,TRX000024,PIZZA_PRSC_ARGLA_S,1,2025-01-01 14:23:06
TRXD000067,TRX000025,PIZZA_SICILIAN_M,1,2025-01-01 14:44:49
TRXD000068,TRX000025,PIZZA_THAI_CKN_L,1,2025-01-01 14:44:49
TRXD000069,TRX000026,PIZZA_CLASSIC_DLX_S,1,2025-01-01 14:54:31
TRXD000070,TRX000026,PIZZA_VEGGIE_VEG_L,1,2025-01-01 14:54:31
